idx;result;table;_start;_stop;_time;_value;InstallationName;_field;_measurement
63;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T10:30:00Z;-15,82;acme;a;007955_0x40
64;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T10:40:00Z;-16,02;acme;a;007955_0x40
65;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T10:50:00Z;-15,07;acme;a;007955_0x40
66;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T11:00:00Z;-14,98;acme;a;007955_0x40
67;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T11:10:00Z;-16,15;acme;a;007955_0x40
68;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T11:20:00Z;-16,97;acme;a;007955_0x40
69;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T11:30:00Z;-17,43;acme;a;007955_0x40
70;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T11:40:00Z;-17,63;acme;a;007955_0x40
71;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T11:50:00Z;-17,96;acme;a;007955_0x40
72;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T12:00:00Z;-18,1;acme;a;007955_0x40
73;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T12:10:00Z;-18,38;acme;a;007955_0x40
74;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T12:20:00Z;-17,76;acme;a;007955_0x40
75;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T12:30:00Z;-17,82;acme;a;007955_0x40
76;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T12:40:00Z;-18,5;acme;a;007955_0x40
77;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T12:50:00Z;-18,71;acme;a;007955_0x40
78;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T13:00:00Z;-18,67;acme;a;007955_0x40
79;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T13:10:00Z;-18,92;acme;a;007955_0x40
80;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T13:20:00Z;-19,15;acme;a;007955_0x40
81;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T13:30:00Z;-19,36;acme;a;007955_0x40
82;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T13:40:00Z;-19,55;acme;a;007955_0x40
83;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T13:50:00Z;-18,6;acme;a;007955_0x40
84;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T14:00:00Z;-14,07;acme;a;007955_0x40
85;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T14:10:00Z;-7,19;acme;a;007955_0x40
86;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T14:20:00Z;-12,94;acme;a;007955_0x40
87;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T14:30:00Z;-16,45;acme;a;007955_0x40
88;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T14:40:00Z;-17,95;acme;a;007955_0x40
89;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T14:50:00Z;-18,78;acme;a;007955_0x40
90;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T15:00:00Z;-19,38;acme;a;007955_0x40
91;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T15:10:00Z;-19,55;acme;a;007955_0x40
92;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T15:20:00Z;-18,66;acme;a;007955_0x40
93;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T15:30:00Z;-19,64;acme;a;007955_0x40
94;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T15:40:00Z;-19,31;acme;a;007955_0x40
95;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T15:50:00Z;-18,8;acme;a;007955_0x40
96;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T16:00:00Z;-19,82;acme;a;007955_0x40
97;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T16:10:00Z;-18,87;acme;a;007955_0x40
98;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T16:20:00Z;-19,53;acme;a;007955_0x40
99;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T16:30:00Z;-19,52;acme;a;007955_0x40
100;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T16:40:00Z;-18,77;acme;a;007955_0x40
101;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T16:50:00Z;-19,88;acme;a;007955_0x40
102;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T17:00:00Z;-18,94;acme;a;007955_0x40
103;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T17:10:00Z;-19,36;acme;a;007955_0x40
104;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T17:20:00Z;-19,57;acme;a;007955_0x40
